address,rooms,price,link,date
"Минск, улица Жудро",1,180.00,https://r.onliner.by/ak/apartments/275665,2017-11-23T10:24:48+0300
"Минск, улица Бурдейного, 14",1,240.00,https://r.onliner.by/ak/apartments/275663,2017-11-23T10:21:49+0300
"Минск, улица Тимошенко",1,600.00,https://r.onliner.by/ak/apartments/275659,2017-11-23T10:11:18+0300
"Минск, Сморговский тракт, 3",1,280.00,https://r.onliner.by/ak/apartments/193189,2017-11-23T09:59:34+0300
"Минск, Козыревская улица, 4",1,150.00,https://r.onliner.by/ak/apartments/198794,2017-11-23T09:46:30+0300
"Минск, Уманская улица, 53",1,190.00,https://r.onliner.by/ak/apartments/275298,2017-11-23T09:46:23+0300
"Минск, улица Шугаева, 21 к1",1,180.00,https://r.onliner.by/ak/apartments/275305,2017-11-23T09:46:22+0300
"Орша, улица Мира, 37",1,70.00,https://r.onliner.by/ak/apartments/271521,2017-11-23T09:41:45+0300
"Минск, Мястровская улица, 1",1,290.00,https://r.onliner.by/ak/apartments/275650,2017-11-23T09:35:24+0300
"Минск, Казимировская улица, 15",1,300.00,https://r.onliner.by/ak/apartments/275301,2017-11-23T09:33:45+0300
"Минск, улица Кабушкина, 94 к2",1,220.00,https://r.onliner.by/ak/apartments/58911,2017-11-23T09:29:01+0300
"Минск, улица Сергея Есенина, 15",1,200.00,https://r.onliner.by/ak/apartments/275647,2017-11-23T09:16:17+0300
"Минск, улица Немига, 8",1,300.00,https://r.onliner.by/ak/apartments/275646,2017-11-23T09:09:59+0300
"Минск, улица Плеханова, 125",1,260.00,https://r.onliner.by/ak/apartments/275645,2017-11-23T09:03:20+0300
"Минск, Нёманская улица, 18",1,270.00,https://r.onliner.by/ak/apartments/147347,2017-11-23T07:57:31+0300
"Минск, улица Якубовского",1,290.00,https://r.onliner.by/ak/apartments/81577,2017-11-23T06:38:24+0300
"Vila-seca, Camí del Mas de la Cuca",1,600.00,https://r.onliner.by/ak/apartments/260041,2017-11-23T02:35:46+0300
"Минск, проспект Пушкина, 89",1,210.00,https://r.onliner.by/ak/apartments/275632,2017-11-23T00:19:53+0300
"Минск, улица Менделеева, 30",1,100.00,https://r.onliner.by/ak/apartments/255953,2017-11-23T00:09:53+0300
"Минск, улица Кунцевщина, 4",1,280.00,https://r.onliner.by/ak/apartments/273698,2017-11-22T23:59:56+0300
"Минск, улица Чигладзе, 6 к2",1,205.00,https://r.onliner.by/ak/apartments/97068,2017-11-22T21:52:27+0300
"Минск, улица Пулихова, 19",1,300.00,https://r.onliner.by/ak/apartments/78378,2017-11-22T21:32:23+0300
"Минск, Каховская улица, 60",1,300.00,https://r.onliner.by/ak/apartments/272797,2017-11-22T20:12:05+0300
"Минск, улица Корженевского, 31",1,250.00,https://r.onliner.by/ak/apartments/275590,2017-11-22T20:07:44+0300
"Гатово, Металлургическая улица, 38",1,190.00,https://r.onliner.by/ak/apartments/275584,2017-11-22T19:58:12+0300
"Витебск, улица Гагарина",1,100.00,https://r.onliner.by/ak/apartments/275573,2017-11-22T19:18:03+0300
"Минск, улица Одинцова, 7",1,300.00,https://r.onliner.by/ak/apartments/273932,2017-11-22T19:08:14+0300
"Минск, улица Мирошниченко, 5",1,200.00,https://r.onliner.by/ak/apartments/274935,2017-11-22T18:50:25+0300
"Минск, Нёманская улица, 2",1,260.00,https://r.onliner.by/ak/apartments/275553,2017-11-22T18:08:15+0300
"Минск, улица Пимена Панченко, 78",1,250.00,https://r.onliner.by/ak/apartments/275551,2017-11-22T18:04:31+0300
"Минск, улица Лобанка, 4",1,270.00,https://r.onliner.by/ak/apartments/270284,2017-11-22T17:37:38+0300
"Минск, Каменногорская улица, 28",1,200.00,https://r.onliner.by/ak/apartments/253846,2017-11-22T17:07:47+0300
"Минск, улица Мачульского, 24",1,250.00,https://r.onliner.by/ak/apartments/260104,2017-11-22T17:06:46+0300
"Минск, улица Романовская Слобода",1,240.00,https://r.onliner.by/ak/apartments/260204,2017-11-22T17:06:41+0300
"Минск, улица Маяковского, 100",1,265.00,https://r.onliner.by/ak/apartments/264929,2017-11-22T17:06:19+0300
Боровая,1,220.00,https://r.onliner.by/ak/apartments/272670,2017-11-22T17:04:19+0300
"Минск, улица Карла Либкнехта, 98",1,180.00,https://r.onliner.by/ak/apartments/272659,2017-11-22T17:04:18+0300
"Минск, проспект Независимости, 52",1,300.00,https://r.onliner.by/ak/apartments/274910,2017-11-22T17:04:06+0300
"Минск, Каховская улица, 62",1,230.00,https://r.onliner.by/ak/apartments/274907,2017-11-22T17:04:05+0300
"Минск, переулок Клумова, 25",1,180.00,https://r.onliner.by/ak/apartments/275229,2017-11-22T17:03:52+0300
"Минск, улица Червякова, 14",1,170.00,https://r.onliner.by/ak/apartments/275272,2017-11-22T17:03:48+0300
"Минск, улица Космонавтов, 7 к1",1,190.00,https://r.onliner.by/ak/apartments/275524,2017-11-22T16:38:47+0300
"Минск, проспект Газеты Звязда, 4 к3",1,160.00,https://r.onliner.by/ak/apartments/275521,2017-11-22T16:32:14+0300
"Минск, улица Жудро, 67",1,230.00,https://r.onliner.by/ak/apartments/275516,2017-11-22T16:24:06+0300
"Фаниполь, улица Шульги, 5",1,200.00,https://r.onliner.by/ak/apartments/187301,2017-11-22T16:20:10+0300
"Минск, Рогачёвская улица, 19",1,190.00,https://r.onliner.by/ak/apartments/257203,2017-11-22T15:48:52+0300
"Минск, улица Голодеда, 17 к2",1,420.00,https://r.onliner.by/ak/apartments/272478,2017-11-22T15:06:56+0300
"Минск, проспект Победителей, 129",1,300.00,https://r.onliner.by/ak/apartments/275493,2017-11-22T14:49:38+0300
"Минск, улица Червякова, 55",1,300.00,https://r.onliner.by/ak/apartments/275492,2017-11-22T14:42:56+0300
"Минск, Заславская улица, 27",1,250.00,https://r.onliner.by/ak/apartments/275488,2017-11-22T14:30:36+0300
"Минск, улица Притыцкого, 39",1,300.00,https://r.onliner.by/ak/apartments/275486,2017-11-22T14:24:32+0300
"Минск, улица Ротмистрова, 44",1,230.00,https://r.onliner.by/ak/apartments/221161,2017-11-22T13:53:23+0300
"Минск, улица Юрия Семеняко, 42",1,230.00,https://r.onliner.by/ak/apartments/275476,2017-11-22T13:48:33+0300
"Минск, Разинская улица, 62",1,270.00,https://r.onliner.by/ak/apartments/275475,2017-11-22T13:45:29+0300
"Минск, переулок Козлова, 46",1,220.00,https://r.onliner.by/ak/apartments/275472,2017-11-22T13:39:16+0300
"Минск, проспект Газеты Правда, 9",1,300.00,https://r.onliner.by/ak/apartments/120464,2017-11-22T13:26:54+0300
"Минск, Широкая улица, 12",1,250.00,https://r.onliner.by/ak/apartments/133070,2017-11-22T13:26:46+0300
"Минск, улица Ольшевского, 7 к2",1,250.00,https://r.onliner.by/ak/apartments/147730,2017-11-22T13:26:31+0300
"Минск, улица Шаранговича, 59 к2",1,200.00,https://r.onliner.by/ak/apartments/178636,2017-11-22T13:25:53+0300
"Минск, улица Левкова, 17",1,250.00,https://r.onliner.by/ak/apartments/182497,2017-11-22T13:25:42+0300
"Минск, улица Мазурова, 18",1,280.00,https://r.onliner.by/ak/apartments/184039,2017-11-22T13:25:37+0300
